STATE,Cohort_2015_2016,Rate_2015_2016,Cohort_2016_2017,Rate_2016_2017,Cohort_2017_2018,Rate_2017_2018,Cohort_2018_2019,Rate_2018_2019,Cohort_2019_2020,Rate_2019_2020,Cohort_2020_2021,Rate_2020_2021
NORTH CAROLINA,285163.0,74.26130895091434,290491.0,75.26663542642925,310071.0,74.20588235294117,318923.0,73.08384615384615,310628.0,74.08792452830188,303452.0,73.2154716981132
NORTH DAKOTA,18255.0,66.29187192118226,18064.0,65.85128205128206,17985.0,65.48780487804878,18763.0,65.70893719806763,18426.0,66.30864197530865,19011.0,66.28768844221105
OHIO,342461.0,72.6623649459784,344526.0,73.30445765230311,352327.0,70.1079301460063,359802.0,69.21244870041039,357273.0,70.50576519916143,354771.0,71.1752403221616
OKLAHOMA,126585.0,68.8827277017461,128948.0,69.55823863636364,131707.0,69.15365733922435,133073.0,70.05142332415059,138468.0,69.70141746684956,139641.0,69.24101864483856
OREGON,126458.0,65.23695420660277,125765.0,66.30379746835443,129890.0,66.35526315789474,130311.0,67.89779270633397,129061.0,69.04995287464656,135088.0,68.11778618732261
PENNSYLVANIA,347344.0,76.5601454064772,351663.0,76.94246485779667,364470.0,75.52920271940667,361398.0,75.61388384754991,352169.0,75.96461769115442,357294.0,75.48347230494342
RHODE ISLAND,29678.0,72.90763052208835,27615.0,71.02918287937743,29769.0,70.8875,32001.0,70.93645484949833,32282.0,70.64041095890411,31657.0,70.64141414141415
SOUTH CAROLINA,135182.0,75.76582278481013,139977.0,75.94919786096257,157063.0,73.99920508744039,159850.0,74.53622047244095,161502.0,74.0015625,158246.0,73.43944099378882
SOUTH DAKOTA,21598.0,66.67522321428571,22282.0,66.45444444444445,22248.0,66.63677130044843,21291.0,68.49302325581395,21874.0,67.43834080717488,22807.0,66.56022727272727
TENNESSEE,170400.0,79.57055630936227,177993.0,79.95126835781042,184127.0,78.23257211538461,187388.0,78.32847141190199,186639.0,77.98725376593279,184722.0,76.65332581736189
TEXAS,905626.0,75.78830607257004,935834.0,75.84932910920611,1002162.0,75.51678309763162,1058931.0,75.56865198531865,,,1080619.0,75.49426793318048
UTAH,109404.0,71.03172866520788,,,,,,,239013.0,73.71686746987952,243149.0,73.8073217726397
VERMONT,16037.0,74.64024390243902,15635.0,74.93426294820718,15407.0,72.88095238095238,14587.0,71.18863636363636,15208.0,70.94690265486726,15178.0,71.01569506726457
VIRGINIA,231038.0,73.82862644415918,241885.0,74.14221724524076,251452.0,73.75077399380805,254039.0,73.75078369905957,257399.0,75.09712230215827,252753.0,75.76615384615384
WASHINGTON,203730.0,70.31981335247667,207249.0,70.6726822363765,206645.0,74.4278876834716,218063.0,71.17162329615861,230876.0,70.7439024390244,,
WEST VIRGINIA,49051.0,80.02909090909091,56443.0,81.73234200743494,57253.0,79.30448717948718,43683.0,76.41100323624596,51779.0,80.86024844720497,50486.0,77.85714285714286
WISCONSIN,160199.0,75.04994054696789,160581.0,75.05325273459988,166749.0,75.48057713651498,166356.0,75.03969548667754,164365.0,75.04086021505377,163537.0,74.6474801061008
WYOMING,18321.0,68.29241071428571,,,18173.0,68.75641025641026,18330.0,68.33966244725738,18363.0,68.08510638297872,18940.0,68.0042194092827
PUERTO RICO,,,,,93148.0,68.375,86383.0,68.0,79139.0,68.9375,75487.0,71.6875
