,YEAR,STATE,StateFIP,CensusRegion,CensusDivision,FiscalEffortPercentage,FiscalEffortIncomePercentage,PredictedCostPerPupilState,ActualSpendingPerPupilState,StateEnrollment,TeacherSalary25_30,NonTeacherSalary25_30,TeacherSalary31_40,NonTeacherSalary31_40,TeacherSalary41_50,NonTeacherSalary41_50,TeacherSalary51_60,NonTeacherSalary51_60,SalaryParityAge25,SalaryParityAge35,SalaryParityAge45,SalaryParityAge55,TotalTeacherSalary
24,2016,MISSOURI,29,Midwest,West North Central,0.0345584,0.0386119,11374.48,9882.257,891534.0,21434.99,28507.71,24706.19,32800.18,28305.31,37755.2,31601.59,42145.59,0.7519017,0.7532333,0.7497062,0.7498197,106048.08
25,2016,MONTANA,30,West,Mountain,0.0402347,0.0403774,10010.47,11224.2,141372.0,23814.45,24408.28,27086.45,27566.54,30372.7,31051.22,33610.31,34102.88,0.9756709,0.9825842,0.9781484,0.9855565,114883.91
26,2016,NEBRASKA,31,Midwest,West North Central,0.0387159,0.0473281,10062.95,11794.87,310443.0,22945.59,28415.1,26066.58,32104.32,29362.25,36177.73,32216.25,39833.68,0.8075139,0.8119336,0.811611,0.8087692,110590.67
27,2016,NEVADA,32,West,Mountain,0.0285363,0.0327253,12883.9,8959.984,441623.0,24888.19,30844.99,28234.42,34892.27,31697.71,39369.82,34915.66,43241.23,0.8068795,0.8091884,0.805127,0.8074622,119735.98000000001
28,2016,NEW HAMPSHIRE,33,Northeast,New England,0.0374537,0.0390605,7963.317,15328.14,178955.0,23662.38,31771.02,27446.03,36408.65,31207.64,41819.71,34697.59,46595.3,0.7447786,0.7538327,0.7462425,0.7446586,117013.64
29,2016,NEW JERSEY,34,Northeast,Middle Atlantic,0.0473602,0.0495565,11235.1,17719.15,1340373.0,34992.52,37963.46,40379.4,44062.23,46725.4,51080.42,52253.74,57068.08,0.9217421,0.9164175,0.914742,0.9156386,174351.06
30,2016,NEW MEXICO,35,West,Mountain,0.0408651,0.0453856,14791.1,9692.617,319861.0,21937.44,27402.98,24952.53,31313.36,28565.14,35965.94,31620.9,40020.15,0.8005495,0.7968653,0.7942276,0.7901245,107076.01000000001
31,2016,NEW YORK,36,Northeast,Middle Atlantic,0.043507,0.0562525,15874.91,22371.33,2580682.0,33284.54,36678.82,38492.22,42277.43,44303.93,49021.76,49561.65,54861.46,0.9074593,0.9104673,0.9037606,0.9033965,165642.34
32,2016,NORTH CAROLINA,37,South,South Atlantic,0.0275001,0.0333504,13136.65,8792.007,1462036.0,22423.37,30430.5,26010.08,35189.56,29944.79,40593.07,33594.29,45451.99,0.7368714,0.7391419,0.7376823,0.739116,111972.53
33,2016,NORTH DAKOTA,38,Midwest,West North Central,0.0351269,0.0465654,8894.794,12813.22,104932.0,26155.67,28713.46,29473.17,32376.2,33586.52,36543.91,36956.45,40024.25,0.9109201,0.9103345,0.9190732,0.9233513,126171.80999999998
34,2016,OHIO,39,Midwest,East North Central,0.0376208,0.0441768,12388.04,11185.09,1595023.0,25502.57,30168.57,29619.66,34822.33,34124.92,40335.95,37956.52,45048.26,0.8453357,0.850594,0.8460177,0.8425745,127203.66999999998
35,2016,OKLAHOMA,40,South,West South Central,0.0322599,0.034654,11473.27,8078.165,670439.0,20122.57,29742.31,22813.85,33841.04,25692.36,38407.64,28539.77,42459.59,0.6765638,0.6741475,0.6689386,0.672163,97168.55
36,2016,OREGON,41,West,Pacific,0.0346189,0.0387819,10201.63,10299.24,566007.0,23264.14,29728.32,26788.24,34164.76,30783.25,39443.14,34534.35,44022.44,0.7825581,0.7840897,0.7804462,0.7844715,115369.98000000001
