Model,Features,Parameters,Hyperparameters,Performance Metrics
Random Forest,"TotalBudget, TeacherSalary, FiscalEffort, StateEnrollment","n_estimators=100, max_depth=None, random_state=42",max_features=auto,"MSE=0.01246, R^2=0.99037"
Gradient Boosting,"TotalBudget, TeacherSalary, FiscalEffort, StateEnrollment","n_estimators=200, max_depth=5, learning_rate=0.1, random_state=42",subsample=0.8,"MSE=0.0183, R^2=0.985"
